n,Find (Cache SIMD),Find (Cache SIMD Unrolled)
3,3,3
4,4,4
5,5,5
6,7,7
7,8,8
8,9,9
9,10,11
10,12,12
11,13,13
12,14,15
13,15,16
14,17,17
15,18,18
16,19,20
17,21,21
18,22,22
19,24,24
20,25,25
21,27,26
22,27,27
23,29,29
24,30,30
25,32,32
26,33,33
27,35,35
28,36,36
29,37,37
30,38,38
31,40,40
32,41,41
33,44,44
34,45,45
35,46,46
36,48,48
37,49,49
38,50,50
39,51,51
40,53,53
41,56,57
42,57,58
43,58,59
44,60,61
45,61,62
46,62,63
47,64,65
48,65,66
49,69,70
50,70,71
51,71,72
52,74,74
53,74,75
54,75,76
55,76,78
56,78,79
57,82,83
58,83,84
59,84,86
60,86,87
61,87,89
62,89,90
63,90,91
64,91,93
65,95,97
66,97,98
67,98,100
68,100,102
69,101,103
70,102,104
71,103,105
72,105,107
73,109,112
74,110,112
75,112,114
76,114,116
77,115,117
78,116,118
79,117,119
80,119,121
81,124,125
82,126,126
83,127,128
84,129,129
85,130,130
86,132,132
87,133,134
88,134,135
89,140,140
90,141,141
91,143,142
92,144,144
93,145,145
94,146,147
95,148,148
96,149,150
97,156,157
98,157,158
99,159,160
100,160,162
101,162,164
102,163,165
103,164,166
104,166,168
105,173,173
106,174,174
107,176,176
108,178,178
109,179,179
110,181,181
111,182,184
112,187,186
113,192,191
114,196,196
115,195,197
116,198,199
117,198,199
118,199,201
119,201,202
120,203,204
121,210,209
122,210,210
123,212,212
124,213,214
125,215,215
126,217,218
127,219,219
128,220,221
129,229,228
130,230,229
131,232,232
132,234,234
133,235,234
134,237,236
135,239,238
136,240,240
137,248,249
138,251,250
139,252,251
140,253,254
141,255,255
142,256,257
143,259,259
144,260,261
145,270,269
146,274,271
147,274,275
148,278,276
149,277,278
150,280,279
151,282,281
152,283,282
153,292,290
154,293,292
155,295,294
156,298,296
157,299,298
158,302,299
159,303,302
160,307,304
161,316,312
162,317,314
163,319,316
164,322,319
165,325,320
166,325,323
167,329,324
168,330,326
169,338,339
170,339,341
171,344,344
172,345,346
173,345,348
174,348,349
175,351,351
176,352,355
177,367,370
178,369,372
179,371,374
180,372,377
181,375,378
182,379,381
183,380,384
184,382,385
185,393,391
186,394,393
187,396,396
188,400,398
189,400,399
190,402,401
191,406,404
192,407,406
193,417,420
194,419,423
195,421,425
196,426,425
197,426,430
198,429,432
199,431,434
200,432,436
201,452,455
202,455,458
203,458,462
204,460,463
205,462,465
206,465,468
207,470,471
208,472,478
209,475,484
210,478,487
211,482,491
212,484,492
213,484,492
214,487,495
215,489,499
216,499,509
217,510,509
218,517,512
219,514,514
220,518,517
221,522,519
222,523,525
223,524,523
224,527,526
225,542,545
226,546,547
227,550,553
228,551,553
229,555,555
230,556,557
231,559,560
232,562,561
233,580,583
234,582,581
235,586,584
236,590,587
237,590,592
238,602,591
239,602,614
240,609,601
241,623,620
242,625,621
243,631,627
244,634,620
245,643,620
246,643,623
247,647,626
248,661,631
249,686,633
250,688,636
251,685,638
252,707,641
253,708,644
254,716,649
255,721,649
256,737,657
257,780,674
258,776,674
259,787,680
260,776,681
261,791,683
262,793,699
263,796,686
264,800,690
265,821,732
266,828,707
267,832,714
268,835,716
269,836,718
270,837,724
271,845,726
272,847,729
273,866,750
274,880,745
275,873,753
276,879,758
277,882,754
278,883,757
279,885,758
280,892,764
281,907,768
282,912,775
283,919,774
284,921,775
285,923,779
286,928,782
287,928,790
288,932,786
289,955,809
290,958,812
291,959,823
292,965,821
293,969,827
294,971,824
295,975,831
296,976,831
297,996,855
298,997,860
299,1000,859
300,1003,867
301,1009,868
302,1011,871
303,1015,874
304,1018,876
305,1035,896
306,1040,898
307,1044,902
308,1050,906
309,1054,915
310,1056,918
311,1059,923
312,1063,921
313,1080,924
314,1083,924
315,1086,928
316,1091,933
317,1092,934
318,1095,938
319,1100,941
320,1105,946
321,1127,980
322,1126,980
323,1130,983
