n,Find Unrolled (O1),Find Unrolled (O2),Find Unrolled (O3),Find Unrolled (Os),Find Unrolled (Oz),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine Cache (O1),State Machine Cache (O2),State Machine Cache (O3),State Machine Cache (Os),State Machine Cache (Oz)
3,23,22,22,22,22,224,223,363,224,226,42,34,48,23,23,46,186,186,186,186,58,47,47,77,78,17,17,16,20,20
4,32,30,31,30,30,306,306,494,307,314,56,31,57,31,31,61,248,247,249,249,78,63,63,104,103,24,27,22,28,25
5,50,51,50,49,50,383,384,605,385,391,71,39,72,38,38,77,310,309,310,310,98,80,80,130,129,37,27,27,28,37
6,83,82,85,82,83,452,451,681,452,455,86,68,98,46,46,92,372,372,373,375,118,97,98,156,155,36,37,33,46,48
7,124,124,125,125,124,529,527,785,530,536,99,79,114,54,54,108,435,433,434,434,138,116,115,181,181,0,0,0,0,0
8,175,176,176,175,177,607,608,872,609,613,112,91,130,62,62,123,496,496,495,495,158,132,133,206,206,0,0,0,0,0
9,242,242,242,242,242,795,789,1114,789,736,127,103,147,70,70,139,558,558,562,558,182,148,149,233,233,0,0,0,0,0
10,320,322,321,321,320,875,873,1236,875,823,143,114,164,77,78,155,622,620,621,622,204,165,165,259,259,0,0,0,0,0
11,422,414,424,413,421,961,966,1367,968,906,157,125,179,85,85,170,683,682,684,684,226,181,180,286,284,0,0,0,0,0
12,518,517,518,517,519,1051,1053,1479,1065,1001,171,137,197,92,92,186,746,744,745,743,250,196,198,310,312,0,0,0,0,0
13,644,647,645,634,633,1125,1130,1577,1152,1073,181,149,211,100,100,197,807,806,793,794,267,209,211,333,332,0,0,0,0,0
14,764,778,766,778,765,1218,1218,1711,1204,1148,195,157,225,107,107,212,852,853,853,852,289,225,264,358,357,0,0,0,0,0
15,934,937,959,954,957,1334,1339,1830,1307,1287,213,171,246,116,116,232,937,922,939,930,320,245,246,390,391,0,0,0,0,0
16,1130,1116,1121,1095,1108,1407,1436,1935,1443,1376,223,184,257,127,123,243,996,1001,980,986,335,258,258,416,409,0,0,0,0,0
17,1298,1291,1293,1290,1303,1593,1596,2184,1566,1508,236,191,274,130,130,260,1062,1035,1036,1036,354,278,277,435,438,0,0,0,0,0
18,1527,1557,1527,1535,1523,1673,1692,2330,1655,1562,253,202,290,137,138,274,1097,1096,1097,1096,374,297,296,460,468,0,0,0,0,0
19,1754,1763,1751,1750,1761,1754,1774,2456,1730,1644,268,214,306,146,145,289,1158,1156,1161,1168,400,315,316,490,510,0,0,0,0,0
20,2036,2033,2037,2039,2034,1832,1863,2598,1828,1746,284,225,326,153,163,304,1218,1218,1219,1219,417,336,336,515,529,0,0,0,0,0
